Fecha,mxn kw/h
1/10/2018,"1,8833"
1/11/2018,"1,845"
1/12/2018,"1,5025"
1/1/2019,"1,5062"
1/2/2019,"1,4972"
19/3/2019,"1,523"
1/4/2019,"1,5182"
1/5/2019,"1,5444"
1/6/2019,"1,5498"
2/7/2019,"1,5525"
3/8/2019,"1,5417"
4/9/2019,"1,5124"
5/10/2019,"1,4838"
6/11/2019,"1,4825"
7/12/2019,"1,482"
7/1/2020,"1,5121"
7/2/2020,"1,5021"
9/3/2020,"1,5107"
9/4/2020,"1,5192"
10/5/2020,"1,5047"
10/6/2020,"1,492"
11/7/2020,"1,4607"
11/8/2020,"1,4414"
11/9/2020,"1,4055"
12/10/2020,"1,4057"
12/11/2020,"1,4061"
13/12/2020,"1,4045"
13/1/2021,"1,4251"
13/2/2021,"1,4334"
16/3/2021,"1,4363"
16/4/2021,"1,4831"
17/5/2021,"1,4899"
17/6/2021,"1,5398"
18/7/2021,"1,5238"
18/8/2021,"1,5213"
18/9/2021,"1,4906"
19/10/2021,"1,4872"
19/11/2021,"1,4994"
20/12/2021,"1,516"
20/1/2022,"1,5321"
20/2/2022,"1,5436"
23/3/2022,"1,5436"
23/4/2022,"1,5843"
24/5/2022,"1,6158"
24/6/2022,"1,5712"
25/7/2022,"1,6112"
25/8/2022,"1,6192"
25/9/2022,"1,6273"
26/10/2022,"1,6331"
26/11/2022,"1,6368"
27/12/2022,"1,6368"
27/1/2023,"1,6403"
27/2/2023,"1,6543"
30/3/2023,"1,6812"