Fecha,PTA c/lb
2/03/2018 0:00:00,"48,18"
9/03/2018 0:00:00,"48,18"
16/03/2018 0:00:00,"48,18"
23/03/2018 0:00:00,"48,18"
29/03/2018 0:00:00,"48,01"
6/04/2018 0:00:00,"48,01"
13/04/2018 0:00:00,"48,01"
20/04/2018 0:00:00,"48,01"
27/04/2018 0:00:00,48
4/05/2018 0:00:00,48
11/05/2018 0:00:00,48
18/05/2018 0:00:00,48
25/05/2018 0:00:00,48
1/06/2018 0:00:00,"50,01"
8/06/2018 0:00:00,"50,01"
15/06/2018 0:00:00,"50,01"
22/06/2018 0:00:00,"50,01"
29/06/2018 0:00:00,"50,01"
6/07/2018 0:00:00,"49,84"
13/07/2018 0:00:00,"49,84"
20/07/2018 0:00:00,"49,84"
27/07/2018 0:00:00,"49,84"
3/08/2018 0:00:00,"50,03"
10/08/2018 0:00:00,"50,03"
17/08/2018 0:00:00,"50,03"
24/08/2018 0:00:00,"50,03"
31/08/2018 0:00:00,"52,87"
7/09/2018 0:00:00,"52,87"
14/09/2018 0:00:00,"52,87"
21/09/2018 0:00:00,"52,87"
28/09/2018 0:00:00,"52,87"
5/10/2018 0:00:00,"59,91"
12/10/2018 0:00:00,"59,91"
19/10/2018 0:00:00,"59,91"
26/10/2018 0:00:00,"59,91"
2/11/2018 0:00:00,"60,06"
9/11/2018 0:00:00,"60,06"
16/11/2018 0:00:00,"60,06"
23/11/2018 0:00:00,"60,06"
30/11/2018 0:00:00,"54,36"
7/12/2018 0:00:00,"54,36"
14/12/2018 0:00:00,"54,36"
21/12/2018 0:00:00,"54,36"
28/12/2018 0:00:00,"51,01"
4/01/2019 0:00:00,"51,01"
11/01/2019 0:00:00,"51,01"
18/01/2019 0:00:00,"51,01"
25/01/2019 0:00:00,"51,01"
1/02/2019 0:00:00,"54,04"
10/02/2019 0:00:00,"54,04"
17/02/2019 0:00:00,"54,04"
27/02/2019 0:00:00,"54,04"
7/03/2019 0:00:00,"55,04"
14/03/2019 0:00:00,"55,04"
21/03/2019 0:00:00,"55,04"
28/03/2019 0:00:00,"55,04"
4/04/2019 0:00:00,"53,71"
11/04/2019 0:00:00,"53,71"
18/04/2019 0:00:00,"53,71"
25/04/2019 0:00:00,"53,71"
1/05/2019 0:00:00,"50,7"
10/05/2019 0:00:00,"50,7"
17/05/2019 0:00:00,"50,7"
27/05/2019 0:00:00,"50,7"
7/06/2019 0:00:00,"47,35"
14/06/2019 0:00:00,"47,35"
21/06/2019 0:00:00,"47,35"
28/06/2019 0:00:00,"47,35"
5/07/2019 0:00:00,"48,77"
12/07/2019 0:00:00,"48,77"
19/07/2019 0:00:00,"48,77"
26/07/2019 0:00:00,"48,77"
2/08/2019 0:00:00,"46,76"
9/08/2019 0:00:00,"46,76"
16/08/2019 0:00:00,"46,76"
23/08/2019 0:00:00,"46,76"
30/08/2019 0:00:00,"46,76"
7/09/2019 0:00:00,"45,76"
14/09/2019 0:00:00,"45,76"
21/09/2019 0:00:00,"45,76"
30/09/2019 0:00:00,"45,76"
5/10/2019 0:00:00,"46,32"
12/10/2019 0:00:00,"46,32"
19/10/2019 0:00:00,"46,32"
26/10/2019 0:00:00,"46,32"
2/11/2019 0:00:00,"46,32"
16/11/2019 0:00:00,"46,32"
23/11/2019 0:00:00,"46,32"
30/11/2019 0:00:00,"46,32"
7/12/2019 0:00:00,"46,32"
14/12/2019 0:00:00,"46,32"
21/12/2019 0:00:00,"46,32"
30/12/2019 0:00:00,"46,32"
5/01/2020 0:00:00,"46,81"
12/01/2020 0:00:00,"46,81"
19/01/2020 0:00:00,"46,81"
26/01/2020 0:00:00,"46,81"
2/02/2020 0:00:00,"45,31"
16/02/2020 0:00:00,"45,31"
23/02/2020 0:00:00,"45,31"
6/03/2020 0:00:00,"41,29"
13/03/2020 0:00:00,"41,29"
20/03/2020 0:00:00,"41,29"
27/03/2020 0:00:00,"41,29"
3/04/2020 0:00:00,"34,61"
10/04/2020 0:00:00,"34,61"
17/04/2020 0:00:00,"34,61"
24/04/2020 0:00:00,"34,61"
8/05/2020 0:00:00,"35,11"
15/05/2020 0:00:00,"35,11"
22/05/2020 0:00:00,"35,11"
29/05/2020 0:00:00,"35,11"
6/06/2020 0:00:00,"36,62"
13/06/2020 0:00:00,"36,62"
20/06/2020 0:00:00,"36,62"
27/06/2020 0:00:00,"36,62"
3/07/2020 0:00:00,"37,29"
10/07/2020 0:00:00,"37,29"
17/07/2020 0:00:00,"37,29"
24/07/2020 0:00:00,"37,29"
9/08/2020 0:00:00,"36,62"
16/08/2020 0:00:00,"36,62"
23/08/2020 0:00:00,"36,62"
30/08/2020 0:00:00,"36,62"
4/09/2020 0:00:00,"37,62"
11/09/2020 0:00:00,"37,62"
18/09/2020 0:00:00,"37,62"
25/09/2020 0:00:00,"37,62"
3/10/2020 0:00:00,"38,08"
10/10/2020 0:00:00,"38,08"
17/10/2020 0:00:00,"38,08"
24/10/2020 0:00:00,"38,08"
7/11/2020 0:00:00,"37,75"
14/11/2020 0:00:00,"37,75"
21/11/2020 0:00:00,"37,75"
28/11/2020 0:00:00,"37,75"
4/12/2020 0:00:00,43
11/12/2020 0:00:00,43
18/12/2020 0:00:00,43
25/12/2020 0:00:00,43
8/01/2021 0:00:00,47
15/01/2021 0:00:00,47
22/01/2021 0:00:00,47
29/01/2021 0:00:00,47
5/02/2021 0:00:00,48
12/02/2021 0:00:00,48
19/02/2021 0:00:00,48
26/02/2021 0:00:00,48
4/03/2021 0:00:00,48
11/03/2021 0:00:00,48
18/03/2021 0:00:00,48
25/03/2021 0:00:00,48
8/04/2021 0:00:00,50
15/04/2021 0:00:00,50
22/04/2021 0:00:00,50
5/05/2021 0:00:00,48
12/05/2021 0:00:00,48
19/05/2021 0:00:00,48
26/05/2021 0:00:00,48
3/06/2021 0:00:00,53
10/06/2021 0:00:00,53
17/06/2021 0:00:00,53
24/06/2021 0:00:00,53
1/07/2021 0:00:00,56
8/07/2021 0:00:00,56
15/07/2021 0:00:00,56
22/07/2021 0:00:00,56
29/07/2021 0:00:00,56
5/08/2021 0:00:00,56
12/08/2021 0:00:00,56
19/08/2021 0:00:00,56
26/08/2021 0:00:00,56
2/09/2021 0:00:00,53
9/09/2021 0:00:00,53
16/09/2021 0:00:00,53
23/09/2021 0:00:00,53
30/09/2021 0:00:00,53
7/10/2021 0:00:00,56
14/10/2021 0:00:00,56
21/10/2021 0:00:00,56
28/10/2021 0:00:00,56
4/11/2021 0:00:00,56
11/11/2021 0:00:00,56
18/11/2021 0:00:00,56
25/11/2021 0:00:00,56
2/12/2021 0:00:00,53
9/12/2021 0:00:00,53
16/12/2021 0:00:00,53
23/12/2021 0:00:00,53
30/12/2021 0:00:00,53
6/01/2022 0:00:00,61
13/01/2022 0:00:00,61
20/01/2022 0:00:00,61
27/01/2022 0:00:00,61
3/02/2022 0:00:00,64
10/02/2022 0:00:00,64
17/02/2022 0:00:00,64
24/02/2022 0:00:00,64
3/03/2022 0:00:00,73
10/03/2022 0:00:00,73
17/03/2022 0:00:00,73
24/03/2022 0:00:00,73
31/03/2022 0:00:00,73
7/04/2022 0:00:00,72
14/04/2022 0:00:00,72
21/04/2022 0:00:00,72
28/04/2022 0:00:00,72
5/05/2022 0:00:00,79
12/05/2022 0:00:00,79
19/05/2022 0:00:00,79
26/05/2022 0:00:00,79
2/06/2022 0:00:00,91
9/06/2022 0:00:00,91
16/06/2022 0:00:00,91
23/06/2022 0:00:00,91
30/06/2022 0:00:00,91
7/07/2022 0:00:00,77
14/07/2022 0:00:00,77
21/07/2022 0:00:00,77
28/07/2022 0:00:00,77
4/08/2022 0:00:00,73
11/08/2022 0:00:00,73
18/08/2022 0:00:00,73
25/08/2022 0:00:00,73
1/09/2022 0:00:00,69
8/09/2022 0:00:00,69
15/09/2022 0:00:00,69
22/09/2022 0:00:00,69
29/09/2022 0:00:00,69
7/10/2022 0:00:00,71
14/10/2022 0:00:00,71
21/10/2022 0:00:00,71
28/10/2022 0:00:00,71
4/11/2022 0:00:00,69
11/11/2022 0:00:00,69
18/11/2022 0:00:00,69
25/11/2022 0:00:00,69